elevation, 2d_area, 3d_area, volume
0,1471829,1623689.52,12602474.26
-2,1302149.337,1450049.217,9777058.629
-4,982654.3539,1115337.496,7367095.419
-6,768363.8718,879595.2543,5487373.179
-8,544519.5347,634045.7351,3978998.994
-10,534996.8148,605516.3604,2901891.316
-12,342582.4299,397326.4793,2039379.223
-14,338621.3609,380341.5576,1360278.8
-16,172218.9891,202922.5299,869682.0589
-18,170231.9157,191809.6353,528302.1052
-20,167719.5016,180088.9544,190849.9135
-22,25826.96974,34386.19956,124844.0705
-24,25299.07198,30467.83928,74154.33156
-26,24730.95331,26508.15414,24513.53911
